Insulation,Temperature,Num_Occupants,Avg_Age,Home_Size,Predicted_Heating_Oil
0,5,69,10,70.1,7,245.24742738844117
1,5,80,1,66.7,1,213.84073316817972
2,6,89,9,67.8,7,220.39929053184633
3,3,81,9,52.4,6,206.80878255783355
4,6,58,8,22.9,7,162.43574076880842
5,6,58,6,37.4,3,177.90302406488203
6,4,51,2,51.6,3,219.80708451215943
7,8,73,5,37.4,4,160.83079637481714
8,1,39,1,56.9,7,264.60337449763404
9,2,84,5,64.5,2,219.8309576204844
10,0,74,6,58.3,1,220.99159791189746
11,5,49,6,68.6,6,257.6110813788688
12,2,45,2,33.9,8,215.0675790722666
13,7,49,4,49.7,4,208.59234440955876
14,1,66,6,66.2,5,251.25548609995224
15,1,57,10,70.1,7,271.1060489313775
16,1,66,10,32.9,6,190.28841754210308
17,6,47,3,55.2,6,231.18148040410262
18,5,53,1,19.8,7,167.1773187454142
19,5,77,3,66.9,5,228.59997295725486
20,7,66,6,64.1,3,217.4901578061798
21,4,87,7,36.1,6,167.7960669227554
22,0,47,1,71.3,4,279.4723993415827
23,0,76,3,59.5,7,241.3961642777895
24,7,60,4,68.2,4,234.1188558266121
25,6,86,7,29.9,1,133.4511014925913
26,2,69,9,62.2,1,223.68578756430946
27,7,67,5,24.8,3,142.97213529003648
28,7,78,6,67.3,7,225.8876373048872
29,6,43,3,46.0,8,223.5088558809769
30,3,39,10,29.4,7,201.84902910201941
31,6,66,7,40.7,8,192.66400197630443
32,5,61,4,32.2,3,170.1844369782096
33,7,58,2,62.1,4,225.01592419484797
34,3,67,6,39.5,4,189.140965464973
35,1,87,10,54.5,1,197.51712270280336
36,0,47,8,31.2,1,192.12680878057515
37,0,84,4,36.5,3,178.42332204644703
38,8,61,9,34.1,7,172.79516485423895
39,5,73,3,57.8,2,205.44858328220647
40,3,71,1,61.0,5,231.10918975417994
41,8,69,1,32.4,7,165.58556951479693
42,5,85,1,41.7,1,162.5215020405658
43,7,72,8,18.9,6,135.9880067071779
44,2,87,2,56.8,4,210.09279212648204
45,4,69,4,33.2,1,162.94951947522821
46,7,73,3,48.2,3,182.6537125329659
47,4,72,4,35.5,4,174.14080877996142
48,7,70,6,37.9,4,167.89120475122928
49,1,53,5,40.3,5,213.8317024932951
50,2,74,5,35.6,4,180.13716080531364
51,5,76,4,68.8,4,229.5459643399412
52,2,88,6,26.8,6,157.6273961088651
53,7,65,9,17.2,8,144.63559141344237
54,0,88,1,69.8,6,248.19045508107433
55,8,58,3,42.5,7,193.23199848970364
56,2,59,6,60.0,4,238.4496181070269
57,6,77,9,18.8,5,132.00960554937046
58,1,83,9,58.3,6,224.0747090123195
59,6,50,7,29.8,4,173.15213443861103
60,0,49,10,48.9,6,238.74411362962667
61,1,54,4,19.0,7,179.4814569352866
62,6,89,9,42.9,2,157.835892761623
63,2,48,1,66.6,5,265.05919688366635
64,7,39,6,62.8,4,241.0420095967989
65,2,41,3,64.7,8,276.1175856037757
66,8,60,9,19.8,1,127.90915027955856
67,4,63,9,65.3,3,233.02484913282075
